Id,SalePrice
1461,127619
1462,166767
1463,178051
1464,194659
1465,178968
1466,173307
1467,165050
1468,174635
1469,185859
1470,123551
1471,206852
1472,93635
1473,106467
1474,148363
1475,127576
1476,369113
1477,257409
1478,306780
1479,177731
1480,509457
1481,295114
1482,209598
1483,175902
1484,159566
1485,179719
1486,200041
1487,310407
1488,227471
1489,215785
1490,204569
1491,187543
1492,95071
1493,173344
1494,280352
1495,289551
1496,222710
1497,184854
1498,161415
1499,160933
1500,151929
1501,185941
1502,165263
1503,303902
1504,222363
1505,216176
1506,202455
1507,244410
1508,230299
1509,170931
1510,144453
1511,140628
1512,170154
1513,155450
1514,170916
1515,186724
1516,153373
1517,153487
1518,133837
1519,227520
1520,139269
1521,138864
1522,171098
1523,110664
1524,121650
1525,119857
1526,123294
1527,85515
1528,142055
1529,150276
1530,186559
1531,122594
1532,110584
1533,139060
1534,118033
1535,168044
1536,117523
1537,63163
1538,192513
1539,192980
1540,142498
1541,157859
1542,143358
1543,181880
1544,91535
1545,98243
1546,125405
1547,142174
1548,136263
1549,115549
1550,146483
1551,105006
1552,136037
1553,161629
1554,117093
1555,167483
1556,66500
1557,120095
1558,89677
1559,107121
1560,133592
1561,151193
1562,127455
1563,123455
1564,152263
1565,148234
1566,240909
1567,72254
1568,248001
1569,146433
1570,133200
1571,134209
1572,157969
1573,243171
1574,108578
1575,219007
1576,230758
1577,212745
1578,148134
1579,141604
1580,191364
1581,153724
1582,130898
1583,307149
1584,232844
1585,141595
1586,59684
1587,91309
1588,155334
1589,101614
1590,129481
1591,91933
1592,108842
1593,125344
1594,117358
1595,109506
1596,241013
1597,181981
1598,204267
1599,183870
1600,174550
1601,71012
1602,118419
1603,105180
1604,282769
1605,219710
1606,160574
1607,151467
1608,221290
1609,207814
1610,162544
1611,144902
1612,166008
1613,149072
1614,108593
1615,85487
1616,74825
1617,89277
1618,128823
1619,142909
1620,163993
1621,126879
1622,126116
1623,335938
1624,223844
1625,121390
1626,168260
1627,186922
1628,308537
1629,182443
1630,397979
1631,229378
1632,253730
1633,175055
1634,182822
1635,186066
1636,149581
1637,180733
1638,185923
1639,182038
1640,262408
1641,183822
1642,229269
1643,207854
1644,223500
1645,195265
1646,142285
1647,154888
1648,142748
1649,138967
1650,115222
1651,125931
1652,96272
1653,90244
1654,147571
1655,156724
1656,145710
1657,156516
1658,135886
1659,146949
1660,156212
1661,514745
1662,450582
1663,383033
1664,392352
1665,334073
1666,331570
1667,359249
1668,346188
1669,296171
1670,350478
1671,245010
1672,510899
1673,306386
1674,244890
1675,188557
1676,193067
1677,226799
1678,463736
1679,428145
1680,343571
1681,276210
1682,300134
1683,178561
1684,165599
1685,180746
1686,169485
1687,172414
1688,186802
1689,186733
1690,188556
1691,180923
1692,281945
1693,176484
1694,182523
1695,170836
1696,268660
1697,175729
1698,399532
1699,333470
1700,243991
1701,250511
1702,258584
1703,253260
1704,293630
1705,238068
1706,478761
1707,231913
1708,223721
1709,274369
1710,209585
1711,256142
1712,200210
1713,241855
1714,220070
1715,215214
1716,184886
1717,167875
1718,140912
1719,189903
1720,244957
1721,154487
1722,125228
1723,150963
1724,228121
1725,223312
1726,200247
1727,167565
1728,180303
1729,166208
1730,162722
1731,128541
1732,136261
1733,121652
1734,123897
1735,130709
1736,114592
1737,385013
1738,209261
1739,306149
1740,222033
1741,185651
1742,185471
1743,171382
1744,294851
1745,241114
1746,254470
1747,198691
1748,251143
1749,152904
1750,118063
1751,247602
1752,114791
1753,143199
1754,213078
1755,165670
1756,127923
1757,125904
1758,148584
1759,167867
1760,162443
1761,135586
1762,157105
1763,180462
1764,115133
1765,155084
1766,147276
1767,200323
1768,145690
1769,166370
1770,146997
1771,126691
1772,116343
1773,141383
1774,134561
1775,134958
1776,112743
1777,114844
1778,136013
1779,125640
1780,180072
1781,142099
1782,87608
1783,117616
1784,101550
1785,119039
1786,179302
1787,183604
1788,57067
1789,85884
1790,90519
1791,176014
1792,162137
1793,123941
1794,148603
1795,135665
1796,139083
1797,114123
1798,132729
1799,121042
1800,129243
1801,124731
1802,160647
1803,159530
1804,144561
1805,137948
1806,119532
1807,132758
1808,108849
1809,114782
1810,149843
1811,115442
1812,104527
1813,127500
1814,90538
1815,61481
1816,100631
1817,129989
1818,151261
1819,123980
1820,76178
1821,107047
1822,161828
1823,67240
1824,133327
1825,140202
1826,105670
1827,114395
1828,135657
1829,110701
1830,142721
1831,190854
1832,106108
1833,150987
1834,95359
1835,141763
1836,124141
1837,92085
1838,135197
1839,92870
1840,177773
1841,142764
1842,77189
1843,135527
1844,146544
1845,131604
1846,149585
1847,165628
1848,69019
1849,114280
1850,123952
1851,171947
1852,137435
1853,120714
1854,170070
1855,144600
1856,229972
1857,152900
1858,139064
1859,118167
1860,142875
1861,118009
1862,249987
1863,248240
1864,248240
1865,331980
1866,336382
1867,245689
1868,312819
1869,210973
1870,254363
1871,231468
1872,169808
1873,225987
1874,144865
1875,201803
1876,196238
1877,212943
1878,205672
1879,133839
1880,135064
1881,219200
1882,257810
1883,196053
1884,218784
1885,258688
1886,305127
1887,198670
1888,281364
1889,162095
1890,139209
1891,147114
1892,105595
1893,136643
1894,128025
1895,148872
1896,123075
1897,111627
1898,112204
1899,154055
1900,155573
1901,166635
1902,128280
1903,225633
1904,136276
1905,177348
1906,179454
1907,221685
1908,126576
1909,135251
1910,124015
1911,213993
1912,252716
1913,171872
1914,73260
1915,282486
1916,72357
1917,261188
1918,128665
1919,157256
1920,139258
1921,402174
1922,330913
1923,228580
1924,221288
1925,217806
1926,358901
1927,129967
1928,173527
1929,130984
1930,127502
1931,133751
1932,129341
1933,172421
1934,180343
1935,180052
1936,184835
1937,176181
1938,170050
1939,256769
1940,171880
1941,173601
1942,194026
1943,210913
1944,321940
1945,366646
1946,155664
1947,327170
1948,168901
1949,222621
1950,181657
1951,252120
1952,234731
1953,155917
1954,205948
1955,127064
1956,286473
1957,170228
1958,319473
1959,140916
1960,118866
1961,116343
1962,91932
1963,98234
1964,109535
1965,147936
1966,148126
1967,283668
1968,436381
1969,418697
1970,455007
1971,474197
1972,384101
1973,260689
1974,334085
1975,362929
1976,267229
1977,333762
1978,384903
1979,343196
1980,186744
1981,354633
1982,252461
1983,222459
1984,162273
1985,216634
1986,206405
1987,177673
1988,181732
1989,196054
1990,218530
1991,254108
1992,235891
1993,159483
1994,229750
1995,179984
1996,247048
1997,293536
1998,361829
1999,265644
2000,304495
2001,262941
2002,242743
2003,225289
2004,245571
2005,241058
2006,238803
2007,243986
2008,206853
2009,194670
2010,187842
2011,146850
2012,174755
2013,188442
2014,187781
2015,209493
2016,196597
2017,203289
2018,136747
2019,133988
2020,116990
2021,112284
2022,189237
2023,147142
2024,205879
2025,395766
2026,177426
2027,156696
2028,147373
2029,185284
2030,279171
2031,254435
2032,288593
2033,269583
2034,156833
2035,216764
2036,185664
2037,204110
2038,322406
2039,223907
2040,426559
2041,288141
2042,183967
2043,163440
2044,191925
2045,209578
2046,132341
2047,147931
2048,139325
2049,134184
2050,190084
2051,114079
2052,147113
2053,145775
2054,64576
2055,140776
2056,141647
2057,120497
2058,251880
2059,123060
2060,177517
2061,158326
2062,136840
2063,106471
2064,139533
2065,132105
2066,169869
2067,114733
2068,144307
2069,73272
2070,112869
2071,82091
2072,132664
2073,131905
2074,196223
2075,145377
2076,121319
2077,160870
2078,127046
2079,135975
2080,109230
2081,117717
2082,139646
2083,146473
2084,110226
2085,128633
